title,body,compensation,pay_amount,amount,email
Videographer,"QR Code Link to This Post
            
        
Looking to hire a creative videographer for one of the top 100 grossing restaurants in the country for Social media and advertisement purposes.  This would include creating content along with the in-house and corporate marketing team. Looking for a talented and passionate individual that has the ability to create content that will help generate interest in our establishment.  Candidate must submit a reel. If you have a website or online reel please include a url with your response and submit to createsequoiavideos@gmail.com

Qualifications:

- Candidate must own a camera capable of producing 4k Video.

- Adept at composition and pictorial continuity to compliment equipment skills in creating the visual imagery of video production (i.e., know how to compose and construct video segments to convey a message or tell a story).

• Proficiency in edit and broadcast design software including, but not limited to Final Cut, Premiere, Adobe After Effects, Photoshop and Illustrator.

- Excellent organizational skills and the ability to work under pressure and tight deadlines to complete work assignments under time and budget constraints.

- Assuring professional quality productions and smooth execution of projects by planning, organizing, selecting shots, implementing proper lighting and audio techniques as well as coordinating and scheduling pre- and post-production with appropriate personnel.",compensation: Pay varies by project,-1,NA,createsequoiavideos@gmail.com
Video Production,"QR Code Link to This Post
            
        
Looking for a talented individual to produce a custom video for our youth organization. An individual who is proficient in motion graphics, and video animation with a fresh and energetic look. This opportunity requires a one week turn around.


Please contact Mario: cause1b@gmail.com",compensation: Open,-1,NA,cause1b@gmail.com
webcam shows,"QR Code Link to This Post
            
        
Hi

I am a looking for a woman who would like to try and make some extra cash doing web cam shows. I would be happy to get to know you.  I think this would be fun and a great way to make money.",compensation: split $,-1,NA,c07b2d4eb6f53331b2d942dae1799ce6@gigs.craigslist.org
So you wanna have an adult video channel,"QR Code Link to This Post
            
        
Are you trying to stand out among the field of hand held cameras and shaky footage? Why not hire a professional with great gear? 
Shoot your video in 4K 
Light panels 
Mics 

One stop shop for shoot edit and delivery 
Hourly and daily rates or profit split

Also avail as no face talent as needed",no pay,-1,NA,049c072cd7cd3c76aa69d94ae244b6ec@gigs.craigslist.org
Seeking Male Models,"QR Code Link to This Post
            
        
Writer of gay fiction looking for his Muse... Seeking creative inspiration via a male bondage model, no prior experience required, any orientation. Respond with current stats & photo(s), contact info.",compensation: TBD,-1,NA,5af905d793ae37ae95e5de17db92ace3@gigs.craigslist.org
Nail artist/technician needed on set Jan 31st,"QR Code Link to This Post
            
        
We are shooting a commercial for a powder nail product.
We need someone on set to assist with nails before we put them on camera.

We need a pro that does nails for work, there will be 4 actors to prep.

Call is at 11am till about 7pm Friday January 31st.",compensation: $225,225,NA,21833152a1a335dcad6f2332309649ad@gigs.craigslist.org
Adding up #s on excel,"QR Code Link to This Post
            
        
I have invoices that need to input into excel. 6 months of invoices need to input # into an excel spreadsheet. If interested lmk need done asap. Pay cash.",no pay,-1,NA,a4cf43564f5f3c9583ca1060a359af5b@gigs.craigslist.org
Athletic Male Models Needed,"QR Code Link to This Post
            
        
Looking for athletic male models for a sports themed photo series.  Need all different body types from tall & lean to buff & muscular.  No modeling experience necessary, great opportunity for those just starting out. All participants should be between the ages of 18-40 and in good physical shape. Those applying should send their stats and a photo that shows what type of shape they are in.  Current and former college athletes encouraged to apply.  Participants will be paid $100 for a 90 min shoot and will also receive 5-10 edited photos from this shoot.",compensation: $100 for 90 min shoot,100, 90 min shoot,07fee77963ab3255af04f57446856d9a@gigs.craigslist.org
Make Money From Your Facebook Account,"QR Code Link to This Post
            
        
You can earn $100+/month from your Facebook account with minimal effort if you meet the following qualifications. We need additional accounts on which to advertise our music and related products. Your FB friends will be completely unaware of our ads, and you can continue to use your FB page as you normally would. 

These are the qualifications:
* A Facebook account that you have had for at least a year and that you access occasionally from a laptop or desktop.
* Good, reliable internet.
* A laptop or desktop that can stay on 24/7 for a week or so.
* Reside in one of the 50 U.S. states. 

Reply to this ad for more details.",compensation: Minimum of $100,100,NA,7a51f8d01a333e7087c160c28f57093b@gigs.craigslist.org
Moodle web site lesson creation and maintenance,"QR Code Link to This Post
            
        
Educational group is looking for a
Moodle expert who can 
1. Create quick courses using content 
2. Maintain already created courses.
3. Backup data 
4. User maintenance
5. Possible remodel and upgrade of website

We would prefer a local individual. 
Not looking for commitment from a large company. 

Please be prepared to show hourly rates and past work.",compensation: Please be prepared to propose hourly rates,-1,hourly,fef207380e003668a36b2990c72771c0@gigs.craigslist.org
Figure Drawing Models,"QR Code Link to This Post
            
        
Hi,

I’m looking for models to practice life drawing. Male or females ok. Willing to compensate. 60 per hour.

Feel free to text or email.",compensation: 60 per hr,60,hr,8b34d4aef30a3bd39379327c5f4dd1f7@gigs.craigslist.org
GND look needed for modeling gig,"QR Code Link to This Post
            
        
Not my day job but a producer friend I have has a client (who I can not disclose publicly but is a top Fortune 500 company) who is doing a  shoot for a marketing campaign and has requested to not use the normal ""model"" looking models. I'm still looking for attractive women for this role but not super fake or done up but more wholesome is the request. Please respond and let me know if you fit the bill. Shot in the dark here. $850k per day shooting.",compensation: The girls chosen for the shoot will be compensated at competitive rates. $850 for a day's shoot.,850,day,58aee31717e43b6d9061479a98c38b9c@gigs.craigslist.org
Social Media SEO Intern,"QR Code Link to This Post
            
        
Looking for individual looking to help start up online business make huge gains via social media optimization strategies.  Facebook/Instagram/YouTube/Twitter/Google/etc.  internship, but I do not believe in working for free so bonus structure to be discussed.",compensation: Bonus based on success,-1,NA,6ae5f98060a134fdb5f0e6c1d0bb5380@gigs.craigslist.org
Female Model For 15 Sec Video $500,"QR Code Link to This Post
            
        
In need of a female to make a 15 second video with script for our real estate business website. Please send at least 2 pictures, contact info & IG link if available. This is a 1 time gig. $500. Thanks",compensation: $500 cash,500,NA,d3160181b45335f5aa2dfd2cbc53c21e@gigs.craigslist.org
*********** AGRITECHCO.COM IS LOOKING FOR A SKETCH UP CAD DRAWER******,"QR Code Link to This Post
            
        
AGRITECHCO.COM IS LOOKING FOR A SKETCH UP CAD DRAWER

Agritech is a patented grow system company looking for a part time, piece work, per project, CAD drawer for print drawings and 3-D renderings. 

Accounting position available as well.",compensation: per job,-1, job,94fc54b6bacf3d53955fe637ddec6216@gigs.craigslist.org
"Team of writers wanted for short films, series work and features","QR Code Link to This Post
            
        
I am looking to develop a team of writers for short films, series work and one or two location feature films to be filmed at our North Hollywood studio. All shorts will be submitted to film festivals and series episodes will be released on YouTube or Amazon and possibly others.  Looking for great writers in all genres.  Looking for writers who care more about putting out great work and getting IMDb credit and exposure for their films in festivals etc.  Must be easy to work with and open to suggestions of topics, characters etc.  Looking for your original ideas (for our sets) and a collaborative effort.  I am an actor, writer and film producer and looking to develop long term relationships with a good team of writers to help me release more content quicker.  I make high production value films.  I am producing the films and covering all expenses of production.  These are non-union projects and all writing is on a deferred basis.  Nothing is paid up front and will only be paid when the films return a profit. That will most likely only occur with the features. The shorts will be released in film festivals and gain exposure and awards (hopefully) for the writers.  Must be easy going and more about the journey and having fun during the process.   Please respond if you are a easy to work with and ready to put great content out asap.  Looking for experienced writers who can put out content quickly.",no pay,-1,NA,cd653822fb373da4b2dc301e9f604c28@gigs.craigslist.org
ARTISTS! 🔥 PERFORM AT THE MANHATTAN WINTER JAM! 🔥,"QR Code Link to This Post
            
        
Who’s Got Next? NYC is currently seeking the next big band, singer, and rapper from The Big Apple 🎤 Do you think you have what it takes to be a superstar? Submit your music below to perform at PIANOS in East Village 2/28 for industry professionals and launch your career to new levels! 🔥🔑Submit your music in the brief form via itsjbdk.com/submit

FAQ’s:

“Is there an age requirement?”
-Yes, 21+

“Are there music professionals in the venue?”
-We always encourage people to bring their A-Game as for we always have top reps in the music industry present!

“Is there limited spots on this show?”
-Yes, this show is first come first serve. If you wait to submit, there is a good chance you will miss out”

“How will I know my music was selected?”
-A team member will call you on the phone number provided via the submission form on itsjbdk.com/submit",compensation: Artist compensation available. Submit for more details,-1, more details,95a07768bb0b350c96d66b8ac10af89a@gigs.craigslist.org
Looking for new fresh faces for Modeling - Portfolio development,"QR Code Link to This Post
            
        
Female models, ages 18 to 25, 5' 7"" or taller, between 115 to 150 lbs looking to develop your portfolio for summer 2020. Here is your opportunity.
Shoot with multiple photographers in one venue on different sets and receive a copy of all your images before you leave.
Vintage and New wardrobe provided by clothing lines and sponsors.
Live Dj in the mix making a Fun and energetic atmosphere.
Full Bar for 21 and over
Fashion show and Catwalk.
Venue is a historic 1930s
Art Deco Theater
Please submit Bio and photos
For consideration",no pay,-1,NA,01e5e53fe908395286465645e89f8edc@gigs.craigslist.org
MODELS NEEDED: Fathers Day and Mothers Day Cocktail Shoot,"QR Code Link to This Post
            
        
Looking for 1-3 models for Fathers Day photoshoot for cocktail company. Any combination of father/son, father/daughter, or father/daughter/son. All must be of drinking age and able to convincingly play relatives. Simple lifestyle shots: drinking mixed drinks and looking like a happy family. May be similar to photos below.

Also looking for 1-3 models for Mothers Day photoshoot for cocktail company. Any combination of mother/son, mother/daughter, or mother/daughter/son. All must be of drinking age and able to convincingly play relatives. Simple lifestyle shots: drinking mixed drinks and looking like a happy family. 

$125 per model for 90 mins to 2 hours + free drinks
Location: TBD somewhere in/around LA; will pay extra $50 if you’re able to provide a nice kitchen setting
Date: Jan 29-30 between 3-6pm",compensation: $125 for 2 hour shoot,125,hour,37386379164e391b84535ba13b0f8086@gigs.craigslist.org
Floral Designer Needed,"QR Code Link to This Post
            
        
We are looking for a floral designer with experience in flower shop work. This is a seasonal gig for the week of February 10th through the 15th and other times as volume of work requires.  Experience with wire service orders is a plus.   This is not on the job training, bring your skills and be prepared to show what you can do.",compensation: $15/ hr + depending on skill and experience,-1,hr,3cc251120d123ad2aeb1574ebc16b5de@gigs.craigslist.org
TOP SALES OPPORTUNITY SEEKING MARKETING PROS,"QR Code Link to This Post
            
        
TOP SALES OPPORTUNITY SEEKING MARKETING PROS

We are seeking highly energetic sales or marketing pros who would like to become top income earners.

With our training you can work from your own home or from our Sarasota home office, set your own hours and come and go as you please, but you will need to work at least 10 hours per week to make it work.

You will need a quiet office space that is equipped with computer and reliable Internet service.

Most associates who receive the training we give, and perform according to what they learn, earn a six-figure income and rise from there.

Ongoing training and support is available as needed
Candidate Requirements:
. Sales & marketing experience
. Good communication skills
. Computer with reliable Internet service
. Team player
. Basic computer skills
. Leadership skills
. Strong drive to succeed
. Positive Attitude

If you would like to join a team that fosters self-employment ambitions, and you are serious about being your own boss and willing to do what it takes to be extremely successful... then we want to hear from you.


941-600-7080",no pay,-1,NA,8cabb0316fde310c86b9ba5d4115b001@gigs.craigslist.org
FAMALES NEEDED FOR MUSIC VIDEO,"QR Code Link to This Post
            
        
Hip hop music video from 4pm -7pm
Sunday, Feb 2, 2020
Mayor campaign scene 
Buisness Attire required , but sexy !
2 females picked for main roles will be compensated
if not chosen , you can still attend as extras for experience
and recreational networking , food will be served (pizza)
serious inquires only ! 
SendEmail  with one head shot 
one full body shot to email attached.",compensation: 25$ -Hr (if chosen for main role),25,hr,bce1c19cf35f32a6a1ac4f5cef77d1b6@gigs.craigslist.org
Need Videographer for a Trade Show,"QR Code Link to This Post
            
        
My company will be attending a trade show in Atlanta in March and I'm looking to hire a professional videographer to get footage of the event. 

Here's what I need:
• 8 Hours of Coverage (possibility of hiring for second day of shooting for 8 hours)
• HD video
• Good audio for interviews on the trading room floor
• Shots of my staff interacting with customers, shots of some speaking engagements at our booth, shots of our medical product demonstrations
• If you also do editing, I would like a ~1-2 minute highlight video for social media. How many edits do you allow?

Quotes:
Please include what camera / audio equipment you'd use as well as your reel / samples
Please include price for 8 hours coverage, and possible second day
Please include price of the highlight video separately from event coverage

Thank you,

James D.","compensation: Please email me with your quote. Payment by cash, check, or credit card.",-1,NA,19f44190d30933fa8f70e9aab3ac76c3@gigs.craigslist.org
Female Model Needed,"QR Code Link to This Post
            
        
Female model needed for classy photoshoot including some nudity. 

- Please be ok with nudity but also understand this is a classy shoot so most shots will not be nude, or will be semi-nude.

- Race, age and body type does not matter for this shoot (within reason, nobody under 18) but you must be attractive, obviously!

- Please include a picture proving who you are - either by holding something with your contact details or today's date. Sorry for this but 90% of responses are fake/spam so this helps weed those out.

Contact me for more details!","compensation: $200 compensation, should only take 2-3 hours",200,hour,f836b28574ef30f7b31362928b00bfed@gigs.craigslist.org
YouTube Comedy Producer W/10 K Subs Needed By Tonight Show Writer,"QR Code Link to This Post
            
        
I am a former staff writer at The Tonight Show, and I am in the process of shooting a proof of concept video for a sitcom that Amazon Studios has shown a great deal of interest in.

My production partner and I need to film a scene in ""The Oval Office"" to complete our presentation. The green screen route MAY be an option, but we were hoping to shoot this on an actual realistically reproduced Oval Office  set, whether free-standing, or part of an existing production studio.

We are aware that the You Tube Space in NY has an Oval Office set, and we would be happy to partner on our project with a You Tube content creator with the necessary 10 thousand subscribers to gain access to their facility for shooting.",no pay,-1,NA,f7fb25a77acd3ee8bf1cf324cd5a396e@gigs.craigslist.org
Website coding,"QR Code Link to This Post
            
        
Looking for someone with knowledge of websites, seo's, coding, etc. Respond with expierance",compensation: TBD,-1,NA,40e905f061ea38b2ba4c7d859eae2f5b@gigs.craigslist.org
Short Instagram Videos Trying New Recovery Drink,"QR Code Link to This Post
            
        
We want to showcase people drinking our celebration recovery drinks on Instagram. We're looking for:

--> REAL people (don't have to be ""influencers"" - just normal people who want to add a healthy aspect to their social drinking life)
--> MUST BE 21 years or older
--> Los Angeles-based
--> With 1K+ Instagram followers
--> Try out our drinks, make a simple video of your drinking it, then send us the video so we can post them as content for us

Here is an example: https://www.instagram.com/p/B6xG8qZlxXK/

We'll give you FREE product + $10 for doing the video (it's very easy).

If you're interested, please respond with your insta handle, and we'll send you info about when/where we'll be meeting up to give out product and explain a little more!",no pay,-1,NA,754cb6af74683b4aa6d8685686557f8b@gigs.craigslist.org
Women Modeling/Acting Shoot,"QR Code Link to This Post
            
        
Looking for outgoing women to shoot photos/video 

Payment will be offered at the end of the day. 

Compensation varies but starts at $100/hour or $300 minimum 

X 

No experience required 

Must include-

Age and availability  
Photos Required 

Thank you",compensation: $100/hour,100,hour,b32dad122c0d30d69f26f14a8ac6b21f@gigs.craigslist.org
Social Media for dental office,"QR Code Link to This Post
            
        
Looking for someone to help out with the social media for a dental office (instagram & facebook)

Not looking for someone to post corny teeth photos. Creativity is a must. Must be intune with today's trends.

This is a great gig for a college student or someone with a media/social background.

Email me a few examples of what you think would be cool for a dental office.",compensation: let's talk.,-1,NA,8b29b6f4067030dea12586d4cc4f6fca@gigs.craigslist.org
Film company looking for individual for company logo photo,"QR Code Link to This Post
            
        
Hi, I’m looking to photograph my film company’s logo and need a model for the shoot. You don’t have to be a typical model, just looking for someone who is interested. Preferably a female but not necessary.

The photo is of someone taking a drink of water from a water fountain. Pretty basic photo. Face will not be included in photo, just the back side of the head and the right portion of body (as if you are taking a drink from a water fountain). 

Serious inquiries please respond. 

Have a great day!",compensation: $40 an hour with a minimum of at least two hours of work.,40,hour,3d8d0bcd5f4e35468fcf026ad683a794@gigs.craigslist.org
MODELS/ACTORS NEEDED FOR SOCIAL MEDIA PROMOTION,"QR Code Link to This Post
            
        
Publisher is hiring models/actors to use their social media platforms (Twitter, Facebook, Instagram, WhatsApp, and the like) to promote and advertise a hot new Audiobook of a newly published book.  The pay is generous and promoters are paid weekly by bank transfer.  The book is hilarious, salacious with adult content, but contains a good, heartfelt message in the end.  You must be 18 or older to participate in this promotion.",compensation: Pay is dependant on size of social network,-1,NA,23f2c38ea8c23d1fb80b31228d187279@gigs.craigslist.org
Actors/Models needed for Media Promotion,"QR Code Link to This Post
            
        
Publisher needs people who are socially connected thru social media (Twitter, Facebook, Instagram, WhatsApp, and the like) to help promote and advertise a hot new Audiobook of a book that has just been published and available in all stores. The pay is generous and promoters are paid weekly by bank transfer. The book is salacious yet hilarious: better than 50 shades and funny as h#!!",compensation: Compensation depends on size of social media network,-1,NA,72507b140df831d3877382cb9ccaa3d0@gigs.craigslist.org
Hair Models - 2 Beautiful Burbank Women,"QR Code Link to This Post
            
        
Hello,

In need of two of the best looking women in Burbank to be hair models.
If interested, please attach pictures.

This gig is non-paid but for free your hair will be slayed. I will need you for this Thursday from 1:30p-4:30p.",no pay,-1,NA,c68a49d386e5306592b36cedddb142b6@gigs.craigslist.org
Special Effects Make-up for tomorrow Monday 01/27 Night Feature Shoot,"QR Code Link to This Post
            
        
Hi there,

We need a special effects make-up person for a 1-day shoot tomorrow Monday 01/27 of a very small feature.

The hours are 4:30PM - 6:00 AM.

We need you to do special effects make-up to add a little blood to characters, make them look sweaty and exhausted, dust up uniform a bit. Also will need to make up one character face and body to look as if he was blown off by a grenade.

Pay is $200 for the day, kit and supplies included in pay. Independent contractor. Very small project. That's all we can afford. We have some fake blood, so you are welcome to use ours.

Location is in San Pedro.

Day will be long. Very likely 14 hours. Please keep in mind this is a night shoot.

Please reply with some info about yourself and also links to work you've done, esp in action stuff, and imdb credits is always helpful. We will prioritize anyone who has a very positive and helpful attitude.

Please confirm you are fine with rate, location and time.

Thank you and looking to hearing from you.","compensation: Pay is $200 for the day, kit and supplies included in pay. Independent contractor.",200,day,ad1c9da30cec3d41ab3aaccfd59efe25@gigs.craigslist.org
Models for LA & OC Fashion Week Audition,"QR Code Link to This Post
            
        
Females 5'8"" and taller, size 6 or smaller needed for LA and Orange County Fashion Week & Photo Shoots. American Models & Actors agency is looking for our American Elite modeling division (High-Fashion Runway & Print) at our New Santa Ana location. 

Model jobs pay up to $150 per hour. Our agency is free to be represented. If we find you a job, we get 20% commission (CA State Law). Our talent agency license is TA-242523.  No Experience Needed! FREE TRAINING IS OFFERED TO THOSE WHO QUALIFY.  

Open Call Auditions to join our agency will be held Tuesday Jan. 28 @12noon, 2pm, 4pm, 6pm, and 8pm.  Call 949-682-7272 Monday Jan. 27 from 2-9pm  or text 619-322-3496 anytime, to set an appointment. Use codeword FREEOC when setting your appointment to be considered for free training. 

Our professional staff have over 100 years combined experience and have worked for Elite Modeling Agency, which has represented models such as Kendall Jenner, Gisele Bundchen, Tyra Banks, Adriana Lima, Heidi Klum, etc.  and other top agencies around the world. DON'T MISS THIS GREAT OPPORTUNITY!!!","compensation: Model jobs pay up to $150 per hour, but we are an employment agency. THIS IS NOT FOR A SPECIFIC JOB.",150,hour,4c649d12ae89348c9c748b94dc5656af@gigs.craigslist.org
Cute girls needed for modeling gig,"QR Code Link to This Post
            
        
Not my day job but a producer friend I have has a client (who I can not disclose publicly but is a top Fortune 500 company) who is doing a shoot for a marketing campaign and has requested to not use the normal ""model"" looking models. I'm still looking for attractive women for this role but not super fake or done up but more wholesome is the request. Please respond and let me know if you fit the bill. Shot in the dark here. $850 per day shooting.",compensation: The gig will be compensated at competitive rates. $850 for a day's shoot.,850,day,1a9c7a87a7a138ddb54a26e54134989f@gigs.craigslist.org
Male and Female Models Needed ASAP for Surgery Photo Shoot,"QR Code Link to This Post
            
        
A medical device company based in Union City, CA will be photographing products in their on-site faux operating room that will look like a real operating room with surgical gowns, masks, etc. The shoot will take place this Tuesday and Wednesday (1/28-1/29, 9am-4pm).
They are looking for one male and one female to stand-in as surgeons during the shoot.
The company is looking for individuals 30-50 years old, preferably not White ethnicity, and have a nice smile.

Compensation is $500/day. Please send your availability with a link to your portfolio and the medical device company will reach out to you directly.",compensation: $500/day,500,day,391a12dab3fe37b3a8ffd34d2f5a6aa6@gigs.craigslist.org
Help Needed Added Music to Viral Inspirational Videos,"QR Code Link to This Post
            
        
I'm looking for someone to help me add music to my viral inspirational videos.  Someone who knows how to build emotion, create tension and deliver more audience payoff through music.  It doesn't have to be original music but it should be free of any copyright issues.  Sound effects can also help.  

If you're interested, I will send you a sample video and pay you $25 to do a test.  If you do well this will be ongoing work with new videos every couple days.  All work will be done remotely but fast turnaround / communication is required.

If interested please include links to your work where you did the sound/music.",compensation: $25-30/hr,25,hr,72d3c27b8c4a3f5d8ea4dfcb66caea5b@gigs.craigslist.org
Website and Social Media Marketing,"QR Code Link to This Post
            
        
I sell brand name electronics on Amazon.  I also wholesale to smaller sellers, and to some eBay sellers.  Brand name means, Apple products, Microsoft tables, games, Ultimate Ears speakers, JBL products, GoPro cameras, and much more.

I now want to sell these products on my own website and / or link to other sites that sell similar products.  In other words, I like to build a base of customers around my site, rather than passing them to Amazon.  I understand this takes time.   I have spent substantial amount of time, and money on people that have claimed they know what they are doing, and did not deliver.

The ideal candidate for this job will have enough understanding of the marketing space (using social media, right key terms, working with YouTube / IG influencers, interlinking with other sites, working on landing pages etc), that can tell me roughly what will take place at what time.  In other words, in 2 months, we should be seeing this, in 5 months we should be seeing this etc.

My ideal type of compensation would be to give percentage of growth (sales, profits, increase in numbers etc), and not hourly wage.  I have no problem paying for what makes sense, but I have come to realize that hourly workers are not really interested in the outcome of the project, and just want to get paid today.  That does not work for me, and honestly, that would not work for any business owner.  If you show results, you will make a lot of money, because I have access to a very large selection of great products, all from within U.S., and all new products that are one generation older than current products in stores.

The possibilities of growth here are basically infinite, and really just has to do with one's own vision and dreams.

This project would probably require an hour or two a day work on a consistent basis for the first few months.  I am open to work out a payment structure that would keep the person going, but I am not inclined to do hourly pay for too long, as I do not want to encourage checked out mentality.

I have a nice office in downtown San Diego on 5th Avenue.  You could work from there, or from any other location, but we would need to meet once a week in person to review progress.

Thank you for reading this long message, and hope to connect with you soon.",compensation: DOE,-1,NA,f6f55f7a615031b4b3744e0dd8a21edc@gigs.craigslist.org
Looking for Rave & Party Models,"QR Code Link to This Post
            
        
Hi,
Currently looking for models to host parties and travel to Reno Gigs. We are looking for females only 18-30 y/o.  No experience needed. 

Must be 18
Able to travel to work(transportation provided if needed)
Out-going and Customer Friendly 
Able to start ASAP

To apply please send photos or link to your instagram. Be sure to include your availability, location, and contact info. 

Thank You",compensation: 500,500,NA,2a93cfcdb96a3d9e8b376839a9f3fd27@gigs.craigslist.org
Computer Technician needed urgently,"QR Code Link to This Post
            
        
A tax office in urgent need of a computer repair technician. Needed to move files from former hard-drive to a new hard-drive in the tax office today Please call Emmanuel (310) 292-1147  1354 W 84th Place Los Angeles, CA. 90044",compensation: Negotiable,-1,NA,tulatax@gmail.com
*** REVOLUTIONARY BUSINESS OPPORTUNITY ***,"QR Code Link to This Post
            
        
Earn a PASSIVE Income Anytime Anyone USES their Debit Card !

Save on Dining, Travel, Auto's, Mobile Phones, Mortgages, Meds & PetMeds !

https://www.SmartCardRevolution.com/gastevens1/presentation.php",compensation: $25 for each card  then % per swipe.,25, each card  then % per swipe.,bfb005ce02463ac49554189b160f85b4@gigs.craigslist.org
Male model for photography 25+,"QR Code Link to This Post
            
        
We are creating an image in a 19th-century style. Needed is a single male model, with a ""real"" look.  Not looking for ""gorgeous.""  Facial hair or longer hair is a plus, but not required. 
The shoot would likely be Jan 30 or 31st in Chelsea Manhattan.
Please send photos, or link to your website/Instagram.  Along with approximate sizes including shoe size.

Must be 25+ (this is for a whiskey project, and client requires age 25+)

This will be really fun!",compensation: $400 for 4 hours ($100 per hour),100,hour,22c3b59aaa473254ae4d45a872f92d90@gigs.craigslist.org
Marketing Survey - 5 min -$20,"QR Code Link to This Post
            
        
1 time gig.  Need someone to do a short survey by mail.  Simple- Get mail, text me with proof of mailing.  
Get $20 immediate payment by cash app or PayPal.",compensation: $20,20,NA,65212be84d333f3aa209c93e9c5081c3@gigs.craigslist.org
Adult Production For Models ( 18 & Over ),"QR Code Link to This Post
            
        
Phoenix based production company is looking  for models ( 18- early 50’s ) to perform in adult content video. These productions are XXX, so potential models must be spirited and motivated to perform in front of a camera. Content is produced at a modern and spacious hotel suite with the only the producer
 ( who is also the male talent ) three situated digital cameras, and the female model in the suite. A comfortable, professional, and accommodating production environment is provided.     
      
    These productions are exclusive to a for pay website and are not disseminated. Productions are not shared, posted, or used anywhere but the site they are exclusively produced for. Compensation is excellent for a 4-5 hour production. Minimum compensation is $1,200 and high end $1,500. Minimum rate for any contacted performer is $1,200. Overall look of the model determines rate.  There are additional details to the production that will be shared if am inquiry is made. Models must be 18 with two forms of government issued identification required, absolutely no exceptions. Previous contracted performers have also been in mid 30’, 40s, 50’s, so if you feel you have the right look and enthusiasm, feel free to reply. If interested, please reply with age, ethnicity, general area of residence.        

    Travel accommodations can be made to produce content in your general area of residence if traveling to the greater Phoenix area is an issue. If you reply with any types or forms of pictures it is with the understanding you are 18 years of age or older. Please do not reply if you are not 18 years of age.  If and when a reply is received, your privacy is valued and ensured. Any form of personal information will not be shared or used for any other practice other then what functions is was shared for. Regardless if the model agrees to a contract to perform or declines. Feel free to email or text/call with an inquiry.  Pictures posted are models that have been contacted before showing proof of age via license or ID. All questions and comments are welcomed. Thank you Email or text/call 480-744-3634","compensation: $1,200-$1,500",1200,NA,0abb13de79f63e9797f4f4e4d5c530f0@gigs.craigslist.org
Videographer for a quick gig,"QR Code Link to This Post
            
        
Hello, 

I am searching for a videographer for an interview-style video. 

(we will use this to run Facebook Ads)

- Just need you to record me
- NO EDITING NEEDED! - Just need Raw Video
- Looking to get this done this Thursday or Friday (30 or 31 of January)
- Pay: $75 (will not take more than 2 hours) - 3-4 short scripts 

- Please share some reference of previous work 
- Please share the equipment you will use. 
 
Text 
Dan
9544702125

Thank you ;)",compensation: 75,75,NA,9560f1afc8a038908c458ea18be97090@gigs.craigslist.org
"Entry Level Marketing, Sales & More!","QR Code Link to This Post
            
        
BRAND NEW OFFICE OPENING FOR ESTABLISHED COMPANY!

GUARANTEED DAILY PAY-- AVERAGE WEEKLY INCOME $600- $1200

EXPERIENCE NOT NECESSARY -- WE WILL TRAIN!

PLENTY OF ROOM TO GROW WITHIN THE COMPANY!

TEXT "" TAMPA"" TO 240-319-1769 TO INTERVIEW TOMORROW OR TUESDAY!",compensation: $600 - $1200 weekly,600,NA,cbee4ff555cb3181a081a451587af986@gigs.craigslist.org
New modeling agency looking for models,"QR Code Link to This Post
            
        
Hi! Looking to make easy fun money? We are looking for female models who aren't shy in front of the camera. Pay is $50-$400 base + commission depending on type of shoot. Boost your Instagram or stay anonymous! Contact us for more details!",compensation: $50-$400 + commission,50,NA,paradise_beauty@aol.com
need help with MERN app (in person),"QR Code Link to This Post
            
        
I've been working through a Udemy course and after trying to deploy the app it suddenly the app crashes even in dev. 
I am getting proxy errors and I do not know how to resolve this. 

Would like to meet with experienced JS dev. 
Probably won't take long to resolve but it's a blocker for me.

please suggest a rate",compensation: I suspect this is easy but I value your time and expertise. please suggest a rate,-1,rate,69d0ebecb37a343c8bf2afbc0aa0c74a@gigs.craigslist.org
Need - Dancers for Social Media Dance Videos,"QR Code Link to This Post
            
        
Talented hip Hop/ Rnb dancers needed for music videos for Social Media Marketing. 
Dancers - Males and Females -- age from 18 and over. 
We require a submission link to your demo by video.",compensation: $50 for a single 2-3 hour gig for starters,50,hour,0423b02050053c9e8468951efd5afc4d@gigs.craigslist.org
Seeking Female Talent for 2 min Instructional Video,"QR Code Link to This Post
            
        
We are looking for a well spoken female that can read a teleprompter for an instructional video for a local business.
Previous experience is not required.  You just need to be able to read the prompter and deliver the lines with energy and excitement.  This video shoot will be done in the studio next Tuesday and will take no more that 2 hrs to film.  Must be able to do your own hair and makeup for this one. 
Send 
Name
Headshot
Full body photo 
& resume or credit list
to be considered.
Auditions will be conducted 1/28 - 1/31",compensation: 200,200,NA,ca10e6b747253584b2d2a62b2c0f9497@gigs.craigslist.org
Easy Writing Gig For Website Artical,"QR Code Link to This Post
            
        
No experience needed! 

Our firm is hiring 9-12 content gig writers who can write substance articles for our blog page. Each article must be between 80-100 words in length. There are a total of 2-3 articles per writer. Each writing gig takes approx 2-4 minutes each to complete and pays $5 per writing gig.

Payment via PayPal.

>>>>>If interested, email us what your email address is<<<<<<<",compensation: $15,15,NA,91c7926fcdeb3ec0bb6f57a94e488e6c@gigs.craigslist.org
